============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5 MeV) ==> Xe gas( 25.3 mm) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  145  1 .4525672E+07   2540000E+02 -.1846E+07  .7281E+07   .9986450 -.0386616  .0348352
T  146  1 .4442195E+07   2540000E+02 -.1485E+08 -.4396E+07   .9968145 -.0731190 -.0318508
T  147  1 .4477168E+07   2540000E+02 -.1413E+07 -.5219E+07   .9992767 -.0311268 -.0218461
T  148  1 .4469053E+07   2540000E+02  .1246E+08 -.7436E+07   .9918917  .1209684 -.0389561
T  149  1 .4527480E+07   2540000E+02  .6450E+07  .8484E+06   .9990214  .0385995 -.0215961
T  150  1 .4517932E+07   2540000E+02  .5206E+07  .3344E+07   .9988889  .0420202  .0213388
T  151  1 .4535868E+07   2540000E+02  .7179E+06  .4844E+07   .9994051  .0157365  .0306873
T  152  1 .4470269E+07   2540000E+02 -.1240E+07  .2136E+07   .9996999 -.0158016 -.0187186
T  153  1 .4495119E+07   2540000E+02  .9394E+07  .4476E+07   .9980016  .0458039  .0435291
T  154  1 .4480719E+07   2540000E+02  .5882E+06  .1819E+07   .9998643  .0164571  .0006734
T  155  1 .4433448E+07   2540000E+02  .4614E+07  .9059E+06   .9980660  .0538022  .0311398
T  156  1 .4438001E+07   2540000E+02  .5930E+07  .9319E+06   .9986577  .0514847  .0056647
T  157  1 .4475214E+07   2540000E+02  .1893E+07  .4002E+07   .9997016 -.0053373  .0238379
T  158  1 .4462944E+07   2540000E+02  .7314E+07  .8091E+07   .9976683  .0334037  .0595160
T  159  1 .4500323E+07   2540000E+02  .2991E+05 -.5299E+07   .9987501  .0161512 -.0473009
T  160  1 .4492001E+07   2540000E+02  .6542E+06  .4088E+07   .9995522  .0187394  .0233272
T  161  1 .4462274E+07   2540000E+02 -.7739E+07 -.5985E+07   .9973422 -.0539002 -.0490228
T  162  1 .4438517E+07   2540000E+02 -.9265E+06 -.7747E+07   .9984282 -.0061025 -.0557124
T  163  1 .4500840E+07   2540000E+02  .1041E+07 -.9701E+07   .9974448 -.0030466 -.0713770
T  164  1 .4477732E+07   2540000E+02  .2269E+07 -.1120E+06   .9996928  .0102381  .0225710
T  165  1 .4433404E+07   2540000E+02 -.5066E+07 -.5158E+06   .9998505 -.0166945  .0044958
T  166  1 .4518873E+07   2540000E+02 -.3775E+07  .1076E+07   .9997924 -.0195772  .0056385
T  167  1 .4500343E+07   2540000E+02 -.6370E+07 -.3121E+07   .9997720  .0003031 -.0213512
T  168  1 .4479455E+07   2540000E+02  .3584E+07  .2719E+06   .9986125  .0523416  .0057811
T  169  1 .4531465E+07   2540000E+02 -.3763E+06  .1089E+07   .9998358 -.0033718  .0178025
T  170  1 .4499891E+07   2540000E+02  .7755E+07  .6172E+07   .9993139  .0253021  .0270474
T  171  1 .4468435E+07   2540000E+02  .2594E+07 -.1246E+08   .9986153 -.0192619 -.0489538
T  172  1 .4476522E+07   2540000E+02 -.9704E+07  .1669E+07   .9962277 -.0824622  .0270258
T  173  1 .4483114E+07   2540000E+02 -.3991E+07  .7713E+07   .9996698 -.0100211  .0236603
T  174  1 .4544368E+07   2540000E+02 -.2573E+07 -.2729E+06   .9993992 -.0287109 -.0194130
T  175  1 .4475706E+07   2540000E+02 -.1563E+07 -.7254E+07   .9995642 -.0055682 -.0289881
T  176  1 .4495830E+07   2540000E+02 -.8229E+06 -.2432E+07   .9999098 -.0123406  .0053006
T  177  1 .4429657E+07   2540000E+02  .7278E+07 -.5868E+05   .9768194  .1930636 -.0924679
T  178  1 .4488400E+07   2540000E+02 -.1168E+07 -.1050E+07   .9999023  .0137779 -.0023421
T  179  1 .4575772E+07   2540000E+02 -.1180E+07 -.1996E+07   .9995363 -.0130529 -.0275103
T  180  1 .4480580E+07   2540000E+02  .9917E+07 -.3113E+08   .9878515  .0487071 -.1475702
T  181  1 .4476918E+07   2540000E+02 -.9009E+05  .7583E+06   .9994980 -.0099946  .0300654
T  182  1 .4446379E+07   2540000E+02  .2894E+07  .7811E+07   .9962943  .0613456  .0602860
T  183  1 .4507479E+07   2540000E+02  .1023E+08  .3403E+08   .9769719  .0168009  .2127056
T  184  1 .4488887E+07   2540000E+02  .1109E+07 -.7504E+07   .9984365  .0018424 -.0558682
T  185  1 .4485351E+07   2540000E+02 -.1932E+05  .8910E+07   .9986432  .0337207  .0396820
T  186  1 .4463292E+07   2540000E+02  .1203E+07  .2611E+07   .9999036 -.0131222  .0045437
T  187  1 .4513513E+07   2540000E+02  .2497E+06  .1328E+07   .9997923 -.0183662 -.0088380
T  188  1 .4421249E+07   2540000E+02  .2075E+08  .1059E+08   .9955759  .0910556  .0231862
T  189  1 .4510655E+07   2540000E+02  .5846E+07  .1547E+07   .9994169 -.0206829 -.0271691
T  190  1 .4516005E+07   2540000E+02  .1506E+07  .2023E+07   .9999214  .0120371  .0035204
T  191  1 .4480072E+07   2540000E+02 -.1503E+07 -.1725E+07   .9994576 -.0327155 -.0037641
T  192  1 .4514675E+07   2540000E+02 -.4681E+07  .2136E+07   .9985730 -.0523245 -.0106848
T  193  1 .4553783E+07   2540000E+02 -.4622E+06 -.2330E+07   .9999739 -.0009369 -.0071702
T  194  1 .4527676E+07   2540000E+02  .7064E+07 -.1397E+07   .9994517  .0277769 -.0180227
T  195  1 .4435682E+07   2540000E+02 -.7288E+06 -.3964E+06   .9996064 -.0073891 -.0270653
T  196  1 .4484202E+07   2540000E+02 -.4744E+07 -.4832E+06   .9998647 -.0142027  .0082949
T  197  1 .4467554E+07   2540000E+02  .4378E+07 -.4970E+07   .9994460  .0316471 -.0102990
T  198  1 .4524809E+07   2540000E+02 -.2953E+07 -.3836E+06   .9993834 -.0289187 -.0199152
T  199  1 .4461938E+07   2540000E+02 -.4809E+07 -.2586E+07   .9989703 -.0380903 -.0246459
T  200  1 .4449611E+07   2540000E+02 -.4495E+07 -.2820E+07   .9986970 -.0160684 -.0484376
T  201  1 .4444328E+07   2540000E+02 -.3447E+07 -.1466E+07   .9998243 -.0177820  .0059271
T  202  1 .4478037E+07   2540000E+02  .2256E+07  .7494E+07   .9983271  .0208085  .0539437
T  203  1 .4469927E+07   2540000E+02  .3664E+07 -.1488E+06   .9997532 -.0000901  .0222158
T  204  1 .4481932E+07   2540000E+02  .1017E+08 -.4545E+07   .9983972  .0325630 -.0462885
T  205  1 .4477461E+07   2540000E+02  .9885E+07  .4564E+07   .9977256  .0607326  .0292423
T  206  1 .4513417E+07   2540000E+02 -.5250E+07  .3382E+07   .9992203 -.0362083  .0157397
T  207  1 .4466166E+07   2540000E+02 -.3100E+07 -.2957E+07   .9993099 -.0370358 -.0028416
T  208  1 .4469011E+07   2540000E+02 -.8112E+07  .2130E+07   .9980349 -.0599426  .0182537
T  209  1 .4507328E+07   2540000E+02  .1819E+07 -.1410E+07   .9987024  .0499517  .0099213
