============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  119  1 .9948698E+07   2540017E-02 -.1213E+03 -.1474E+03   .9998782 -.0088313 -.0128668
T  120  1 .9949136E+07   2540201E-02  .3116E+02 -.2525E+02   .9999999  .0002808 -.0003861
T  121  1 .9940670E+07   2540048E-02  .4762E+00  .2369E+01   .9999989 -.0012566  .0007801
T  122  1 .9947220E+07   2540154E-02 -.1709E+02 -.6908E+02   .9999840 -.0015481 -.0054320
T  123  1 .9953585E+07   2540251E-02 -.2602E+02 -.8506E+02   .9999357 -.0058766 -.0096940
T  124  1 .9944256E+07   2540178E-02 -.1877E+02  .3832E+02   .9999705 -.0057484  .0050976
T  125  1 .9942574E+07   2540161E-02 -.1481E+01  .2461E+02   .9999990  .0010105 -.0009712
T  126  1 .9959212E+07   2540229E-02  .4335E+02  .1037E+03   .9999793 -.0020901  .0060868
T  127  1 .9973741E+07   2540233E-02  .1743E+03  .5992E+02   .9999455  .0096061  .0040880
T  128  1 .9962366E+07   2540024E-02  .8776E+02 -.6746E+02   .9999340  .0096801 -.0061802
T  129  1 .9946485E+07   2540177E-02  .1998E+03  .3290E+03   .9995088  .0124051  .0287811
T  130  1 .9959752E+07   2540086E-02 -.1374E+02 -.7906E+02   .9999082  .0007262 -.0135329
T  131  1 .9949091E+07   2540115E-02  .1107E+03 -.9655E+02   .9999468  .0078559 -.0066822
T  132  1 .9947539E+07   2540225E-02  .8766E+02 -.2168E+02   .9997576  .0219950 -.0010000
T  133  1 .9970981E+07   2540132E-02 -.1342E+02  .4631E+02   .9999805  .0032574  .0053240
T  134  1 .9968170E+07   2540017E-02 -.2740E+02  .3072E+02   .9999979 -.0013890  .0014780
T  135  1 .9935085E+07   2540122E-02 -.1300E+03 -.1649E+01   .9999867 -.0050242 -.0011687
T  136  1 .9953758E+07   2540077E-02  .3244E+02 -.3672E+02   .9999843  .0035360 -.0043452
T  137  1 .9934929E+07   2540180E-02 -.2565E+01 -.3915E+02   .9999957  .0003557 -.0029183
T  138  1 .9943917E+07   2540230E-02  .2325E+02 -.2295E+03   .9993651  .0018980 -.0355779
T  139  1 .9946540E+07   2540215E-02 -.8500E+02 -.1683E+03   .9998672 -.0083910 -.0139682
T  140  1 .9950021E+07   2540222E-02 -.1513E+02  .2413E+02   .9999899 -.0020909  .0039689
T  141  1 .9946348E+07   2540214E-02  .1714E+02  .3611E+02   .9999943  .0031243  .0013037
T  142  1 .9944057E+07   2540041E-02 -.1522E+01  .4179E+01   .9999945 -.0009020  .0031915
T  143  1 .9941131E+07   2540106E-02  .6692E+02  .4116E+01   .9999642  .0072776  .0043203
T  144  1 .9960224E+07   2540158E-02  .9479E+02  .9237E+02   .9999560  .0074817  .0056658
T  145  1 .9967276E+07   2540023E-02 -.7024E+02  .7010E+01   .9999876 -.0044047 -.0023250
T  146  1 .9929377E+07   2540252E-02  .4997E+02 -.2211E+02   .9999528  .0097105 -.0003993
T  147  1 .9953125E+07   2540054E-02 -.5455E+02  .2990E+02   .9999840 -.0046862  .0031788
T  148  1 .9947527E+07   2540242E-02  .9841E+01 -.5594E+01   .9999938 -.0007821 -.0034321
T  149  1 .9960523E+07   2540083E-02  .8025E+02  .4045E+02   .9999872  .0032244  .0038961
T  150  1 .9965809E+07   2540111E-02  .9714E+01  .1310E+02   .9999982 -.0016053  .0010543
T  151  1 .9951554E+07   2540120E-02  .3343E+02 -.5842E+02   .9999884  .0039312 -.0027662
T  152  1 .9944433E+07   2540216E-02 -.4409E+02 -.7193E+01   .9999796 -.0061568  .0016926
T  153  1 .9952357E+07   2540125E-02  .2588E+02  .7831E+02   .9999704  .0011585  .0076066
T  154  1 .9965761E+07   2540164E-02  .1214E+02  .1490E+03   .9999323  .0040228  .0109162
T  155  1 .9939585E+07   2540228E-02  .2115E+03 -.1288E+03   .9998865  .0125230 -.0083777
T  156  1 .9948507E+07   2540058E-02 -.5786E+02 -.1927E+03   .9998859  .0001235 -.0151023
T  157  1 .9952291E+07   2540250E-02 -.3290E+02 -.2061E+01   .9999960 -.0019360 -.0020827
T  158  1 .9942577E+07   2540247E-02 -.6333E+02  .1050E+03   .9999832 -.0034569  .0046445
T  159  1 .9942577E+07   2540009E-02  .5471E+02 -.5192E+02   .9999552  .0039384 -.0086128
T  160  1 .9939850E+07   2540209E-02  .4171E+02  .4960E+02   .9999823  .0024795  .0054147
T  161  1 .9950211E+07   2540190E-02 -.7290E+02 -.4812E+01   .9998818 -.0063383  .0140055
T  162  1 .9960244E+07   2540237E-02  .7684E+01 -.5433E+02   .9999821  .0026020 -.0053820
T  163  1 .9963002E+07   2540021E-02  .1869E+02  .2084E+02   .9999996  .0008144  .0002979
T  164  1 .9936210E+07   2540081E-02 -.5584E+01 -.4195E+01   .9999994  .0010964 -.0000570
T  165  1 .9934916E+07   2540183E-02 -.1020E+01  .3306E+02   .9999987 -.0000433  .0016126
T  166  1 .9948871E+07   2540085E-02  .1182E+03 -.1766E+03   .9993828  .0173323 -.0305548
T  167  1 .9958790E+07   2540084E-02 -.2278E+02 -.7247E+02   .9999792  .0023560 -.0060122
T  168  1 .9955021E+07   2540247E-02  .9869E+01 -.1325E+03   .9999059 -.0001875 -.0137160
T  169  1 .9964874E+07   2540191E-02 -.3252E+02  .1660E+03   .9999723  .0008226  .0074022
T  170  1 .9949033E+07   2540186E-02 -.9731E+02 -.1228E+03   .9998381 -.0115245 -.0138223
T  171  1 .9932201E+07   2540224E-02 -.3184E+02 -.5067E+02   .9999816  .0047536 -.0037787
T  172  1 .9979243E+07   2540214E-02 -.7316E+02 -.2481E+02   .9999829 -.0052484 -.0025846
T  173  1 .9954603E+07   2540169E-02 -.8967E+02  .1371E+03   .9998956  .0039346  .0139063
T  174  1 .9971492E+07   2540189E-02 -.5159E+02 -.4465E+02   .9999037  .0052453 -.0128497
T  175  1 .9954953E+07   2540150E-02  .5213E+02 -.5096E+02   .9999822  .0020164 -.0056199
T  176  1 .9953230E+07   2540071E-02 -.1043E+03  .6759E+02   .9999351 -.0103850  .0046933
T  177  1 .9951491E+07   2540217E-02 -.5536E+02 -.3400E+02   .9999772 -.0067267 -.0005916
T  178  1 .9952423E+07   2540049E-02  .1631E+02  .1217E+01   .9999969 -.0024394  .0005275
T  179  1 .9950406E+07   2540042E-02  .6321E+02 -.2153E+02   .9999967  .0022752 -.0011832
T  180  1 .9934746E+07   2540176E-02 -.1270E+02  .2596E+02   .9999932 -.0003591  .0036791
T  181  1 .9969964E+07   2540146E-02 -.3636E+02 -.1568E+03   .9999556 -.0033988 -.0087903
T  182  1 .9957645E+07   2540026E-02  .1275E+03 -.2259E+03   .9999314  .0059133 -.0101107
T  183  1 .9947879E+07   2540126E-02  .8399E+02 -.6078E+02   .9999593  .0058907 -.0068406
T  184  1 .9957615E+07   2540025E-02  .9824E+02  .3438E+02   .9999334  .0106316  .0044949
T  185  1 .9951740E+07   2540171E-02  .5144E+02  .2116E+03   .9996726  .0054643  .0249951
T  186  1 .9955388E+07   2540206E-02 -.4081E+02  .2189E+02   .9999888  .0031418  .0035333
T  187  1 .9929900E+07   2540160E-02  .3186E+02  .2378E+02   .9999765  .0068214 -.0007228
T  188  1 .9964536E+07   2540220E-02  .2608E+02 -.1919E+03   .9999475  .0018716 -.0100768
T  189  1 .9952315E+07   2540104E-02  .2566E+02  .2713E+02   .9999435 -.0079558  .0070556
T  190  1 .9957185E+07   2540186E-02  .9262E+01 -.4469E+01   .9999997 -.0003347  .0006996
T  191  1 .9972678E+07   2540156E-02 -.6305E+01  .4653E+01   .9999997 -.0007441  .0001471
T  192  1 .9969480E+07   2540199E-02  .1297E+02 -.7530E+02   .9999804  .0011828 -.0061520
T  193  1 .9956724E+07   2540018E-02 -.1487E+02 -.5332E+02   .9999557 -.0068061 -.0064958
T  194  1 .9947365E+07   2540167E-02  .4097E+02 -.4721E+02   .9999832  .0041770 -.0040201
T  195  1 .9967571E+07   2540039E-02  .1623E+03 -.6946E+02   .9999628  .0074102 -.0044233
T  196  1 .9940221E+07   2540124E-02  .3445E+02 -.2506E+02   .9999894  .0040782 -.0021146
T  197  1 .9960644E+07   2540213E-02  .3314E+02  .9695E+01   .9999696  .0077812  .0004367
T  198  1 .9945286E+07   2540159E-02 -.1079E+03 -.1006E+03   .9999708 -.0041323 -.0064228
T  199  1 .9944519E+07   2540233E-02 -.1119E+02 -.4820E+02   .9999979 -.0005259 -.0019661
T  200  1 .9960442E+07   2540002E-02 -.2420E+02  .9993E+01   .9999738 -.0063536  .0034780
T  201  1 .9949171E+07   2540219E-02 -.1228E+02 -.4082E+02   .9998968 -.0050096 -.0134651
T  202  1 .9946140E+07   2540158E-02 -.1208E+02 -.6055E+02   .9999389 -.0034068 -.0105176
T  203  1 .9952956E+07   2540198E-02 -.4733E+02  .7482E+02   .9999745 -.0015939  .0069675
T  204  1 .9954864E+07   2540181E-02  .2627E+02  .1109E+01   .9999975 -.0005847 -.0021357
T  205  1 .9923614E+07   2540143E-02 -.8008E+02 -.5599E+02   .9999891 -.0045483 -.0010144
T  206  1 .9962477E+07   2540039E-02 -.3527E+02 -.2169E+01   .9999872 -.0045825 -.0021335
T  207  1 .9955422E+07   2540257E-02 -.2563E+02 -.6834E+02   .9999712 -.0036853 -.0066404
T  208  1 .9937241E+07   2540197E-02 -.3173E+02  .1747E+02   .9999187 -.0112574  .0059836
T  209  1 .9954401E+07   2540181E-02 -.3758E+01 -.1274E+03   .9999411 -.0046818 -.0097925
T  210  1 .9957068E+07   2540200E-02  .7093E+02  .2086E+02   .9999756  .0067465  .0018107
T  211  1 .9970468E+07   2540177E-02 -.3654E+02  .1002E+03   .9999681 -.0046618  .0064831
T  212  1 .9948707E+07   2540109E-02 -.3395E+02 -.2390E+02   .9999697 -.0063787 -.0044546
T  213  1 .9930064E+07   2540124E-02  .3622E+02 -.1579E+02   .9999919  .0040055 -.0002989
T  214  1 .9945536E+07   2540159E-02  .3541E+02  .6863E+01   .9999840  .0025745 -.0050355
T  215  1 .9957914E+07   2540106E-02  .5421E+01 -.1108E+03   .9999666  .0050774 -.0064122
T  216  1 .9947478E+07   2540136E-02  .2817E+02 -.9522E+02   .9999142  .0038491 -.0125226
T  217  1 .9957730E+07   2540254E-02 -.1292E+03 -.7915E+02   .9999488 -.0093421 -.0038944
T  218  1 .9951015E+07   2540249E-02 -.1132E+03 -.5812E+02   .9999910  .0002509  .0042453
T  219  1 .9938393E+07   2540113E-02  .2387E+02  .3660E+02   .9999796  .0044108  .0046288
T  220  1 .9972154E+07   2540059E-02  .1519E+03  .1727E+03   .9997777  .0143693  .0154274
T  221  1 .9953310E+07   2540172E-02 -.1906E+03 -.2969E+03   .9997007 -.0133970 -.0204707
T  222  1 .9957142E+07   2540123E-02 -.2500E+02  .8992E+02   .9999713  .0017747  .0073680
T  223  1 .9960600E+07   2540037E-02 -.3628E+02 -.2320E+02   .9999839  .0054867 -.0014526
T  224  1 .9967143E+07   2540006E-02  .7176E+02  .2450E+02   .9999606  .0088540  .0006796
T  225  1 .9952974E+07   2540097E-02 -.1290E+02  .2355E+02   .9998382  .0028953  .0177562
T  226  1 .9965806E+07   2540182E-02 -.9735E+01 -.2949E+02   .9999906 -.0030517 -.0030708
T  227  1 .9939982E+07   2540226E-02  .7685E+01  .6207E+02   .9999975  .0017258  .0014227
T  228  1 .9965901E+07   2540248E-02 -.8253E+02 -.1144E+03   .9999021 -.0060857 -.0125999
T  229  1 .9949868E+07   2540263E-02  .7601E+01  .4010E+02   .9999766  .0012506  .0067265
T  230  1 .9940338E+07   2540112E-02  .1482E+01  .1397E+02   .9999967  .0022321 -.0012927
