============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(25 MeV) ==> Havar window( 2.53 um) =====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  186  2 .2479485E+08   2540093E-02 -.4645E+01  .7476E+02   .9999964 -.0008461  .0025396
T  187  2 .2479753E+08   2540083E-02  .1127E+03  .9220E+02   .9999663  .0053024  .0062699
T  188  2 .2476803E+08   2540261E-02 -.7027E+01  .1176E+02   .9999993  .0001453 -.0011456
T  189  2 .2481529E+08   2540097E-02 -.3910E+02 -.1171E+03   .9999472 -.0034321 -.0096820
T  190  2 .2481506E+08   2540183E-02 -.4567E+02  .2941E+02   .9999931 -.0036952  .0004753
T  191  2 .2474043E+08   2540166E-02  .3576E+01 -.3117E+02   .9999967 -.0025295 -.0004612
T  192  2 .2477418E+08   2540228E-02  .1208E+02  .6523E+02   .9999375  .0038523  .0104936
T  193  2 .2477049E+08   2540199E-02 -.5595E+01 -.1467E+02   .9999932  .0009720 -.0035585
T  194  2 .2475773E+08   2540248E-02 -.1362E+02  .1629E+02   .9999990 -.0013233 -.0005605
T  195  2 .2481417E+08   2540179E-02 -.5718E+02 -.4461E+02   .9999270 -.0067857 -.0099926
T  196  2 .2472874E+08   2540242E-02  .1389E+02  .4406E+01   .9999962  .0027614 -.0001713
T  197  2 .2476891E+08   2540000E-02  .1578E+01  .4705E+02   .9999995  .0009835  .0000353
T  198  2 .2477583E+08   2540259E-02  .5850E+02  .2379E+02   .9999322  .0109503  .0039537
T  199  2 .2477925E+08   2540212E-02  .8313E+01  .3403E+01   .9999713 -.0073543  .0018276
T  200  2 .2473068E+08   2540003E-02  .1992E+02 -.6582E+02   .9999881  .0015099 -.0046366
T  201  2 .2475800E+08   2540109E-02 -.9283E+02 -.2962E+02   .9993790 -.0352287  .0008058
T  202  2 .2477513E+08   2540153E-02 -.8107E+02 -.4826E+01   .9999738 -.0069416 -.0020437
T  203  2 .2477940E+08   2540045E-02  .5000E+02 -.2594E+02   .9999656  .0079227 -.0024546
T  204  2 .2477884E+08   2540071E-02  .5725E+02  .1337E+03   .9999552  .0029948  .0089751
T  205  2 .2475530E+08   2540020E-02 -.1738E+02 -.3951E+02   .9999965  .0000911 -.0026427
T  206  2 .2474085E+08   2540032E-02  .3342E+02  .5670E+02   .9999527  .0051656  .0082403
T  207  2 .2477036E+08   2540150E-02  .1361E+02 -.2000E+02   .9999992  .0012122  .0003105
T  208  2 .2480847E+08   2540040E-02  .1413E+02 -.3033E+02   .9999939  .0022717 -.0026669
T  209  2 .2474508E+08   2540013E-02  .5419E+03  .4082E+02   .9996069  .0279996  .0014374
T  210  2 .2478042E+08   2540110E-02  .1001E+02 -.3422E+02   .9999912 -.0007587 -.0041314
T  211  2 .2472785E+08   2540132E-02  .4741E+02 -.1725E+02   .9999927  .0037920 -.0004805
T  212  2 .2478088E+08   2540066E-02 -.4589E+01 -.2634E+02   .9999858 -.0050656 -.0016670
T  213  2 .2479379E+08   2540139E-02  .1060E+02 -.3175E+02   .9999977  .0014826 -.0015616
T  214  2 .2475474E+08   2540006E-02  .3360E+01 -.2460E+02   .9999680  .0077822 -.0018467
T  215  2 .2479462E+08   2540083E-02  .6851E+02 -.4052E+02   .9999469  .0087562 -.0054423
T  216  2 .2483403E+08   2540214E-02 -.2254E+02  .4487E+01   .9999973  .0010610  .0020549
T  217  2 .2477956E+08   2540193E-02  .6050E+02  .4591E+02   .9999784  .0046765  .0046091
T  218  2 .2479764E+08   2540033E-02  .1438E+03  .1006E+03   .9999766  .0051637  .0044883
T  219  2 .2478694E+08   2540142E-02 -.1259E+03  .1301E+03   .9997959 -.0137780  .0147775
T  220  2 .2473019E+08   2540141E-02 -.5863E+02 -.2677E+02   .9999622 -.0076706 -.0041027
T  221  2 .2477629E+08   2540023E-02 -.2210E+03 -.4587E+02   .9998708 -.0159055 -.0023267
T  222  2 .2478627E+08   2540148E-02 -.8616E+02 -.1284E+03   .9999486 -.0070290 -.0073026
T  223  2 .2479574E+08   2540156E-02  .1663E+01  .2207E+02   .9999792  .0044492  .0046793
T  224  2 .2480295E+08   2540077E-02 -.3354E+02  .3175E+01   .9998183 -.0138192  .0131263
T  225  2 .2477918E+08   2540120E-02 -.4225E+01 -.1568E+02   .9999939 -.0028385 -.0020597
T  226  2 .2480967E+08   2540180E-02  .8148E+01 -.9438E+02   .9999741 -.0001916 -.0071881
T  227  2 .2479970E+08   2540245E-02 -.2012E+02 -.1960E+02   .9999993 -.0005889  .0010484
T  228  2 .2477601E+08   2540237E-02  .5293E+01  .5149E-01   .9999961 -.0013155 -.0024813
T  229  2 .2478144E+08   2540221E-02  .5245E+02 -.9508E+02   .9999324  .0023696 -.0113830
T  230  2 .2477074E+08   2540206E-02  .6715E+02  .1255E+03   .9998443  .0110195  .0137820
T  231  2 .2475531E+08   2540226E-02 -.2084E+01  .1154E+03   .9999501  .0016520  .0098547
